Event,City,State,When
Uwharrie Mountain Run,Troy,North Carolina,February
Quest for the Crest,Burnsville,North Carolina,August
Barkley Fall Classic,Wartburg,Tennessee,September
Virgil Crest Ultra,Virgil,New York,September
Manitou's Revenge,Phoenicia,New York,June
Twisted Branch 100K,Naples,New York,August
Green Lakes Endurance Runs,Fayetteville,New York,August
Superior 100,Lutsen,Minnesota,September
Ice Age Trail 50,La Grange,Wisconsin,May
Kettle Moraine 100,La Grange,Wisconsin,June
Superior Fall Trail Race,Lutsen,Minnesota,September
Marquette Trail 50,Marquette,Michigan,August
North Country Trail Run,Manistee,Michigan,August
Lake Sonoma 50,Healdsburg,California,April
Miwok 100K,Stinson Beach,California,May
Way Too Cool 50K,Cool,California,March
American River 50,Folsom,California,April
Marin Ultra Challenge,Sausalito,California,March
Mt. Tam Trail Marathon,Stinson Beach,California,September
Sun Mountain Trail Runs,Winthrop,Washington,May
Orcas Island 100,Eastsound,Washington,February
Antelope Island Buffalo Run,Syracuse,Utah,March
Desert Rats Trail Running Festival,Fruita,Colorado,April
Silver Rush 50,Leadville,Colorado,July
Never Summer 100K,Gould,Colorado,July
Grand Mesa Ultras,Mesa,Colorado,July
Rim to River 100,Beckley,West Virginia,November
Massanutten Mountain Trails 100,Front Royal,Virginia,May
Grindstone 100K/100M,Swoope,Virginia,September
Promise Land 50K,Bedford,Virginia,April
Mohican Trail 100,Loudonville,Ohio,June
Burning River 100,Cuyahoga Falls,Ohio,July
Ozark Highlands Trail Run,Oark,Arkansas,April
Sylamore 50K,Allison,Arkansas,February
Wild Duluth Races,Duluth,Minnesota,October
Badwater Cape Fear Trail Run,Bald Head Island,North Carolina,March
New York City Marathon,New York City,New York,November
Boston Marathon,Boston,Massachusetts,April
Chicago Marathon,Chicago,Illinois,October
Marine Corps Marathon,Arlington/Washington DC,Virginia/DC,October
Los Angeles Marathon,Los Angeles,California,March
Houston Marathon,Houston,Texas,January
Twin Cities Marathon,Minneapolis–St. Paul,Minnesota,October
Philadelphia Marathon,Philadelphia,Pennsylvania,November
California International Marathon,Sacramento,California,December
Grandma's Marathon,Duluth,Minnesota,June
Honolulu Marathon,Honolulu,Hawaii,December
Walt Disney World Marathon,Orlando,Florida,January
Pittsburgh Marathon,Pittsburgh,Pennsylvania,May
Detroit Free Press Marathon,Detroit,Michigan,October
Eugene Marathon,Eugene,Oregon,April
St. George Marathon,St. George,Utah,October
Flying Pig Marathon,Cincinnati,Ohio,May
Richmond Marathon,Richmond,Virginia,November
Napa Valley Marathon,Napa,California,March
Big Sur International Marathon,Big Sur,California,April
Rock 'n' Roll San Diego Marathon,San Diego,California,June
Phoenix Marathon,Mesa,Arizona,February
Mesa Marathon,Mesa,Arizona,February
Jersey City Marathon,Jersey City,New Jersey,April
Vermont City Marathon,Burlington,Vermont,May
Austin Marathon,Austin,Texas,February
San Francisco Marathon,San Francisco,California,July
Cleveland Marathon,Cleveland,Ohio,May
Long Beach Marathon,Long Beach,California,October
Mount Desert Island Marathon,Bar Harbor,Maine,October
BAA Half Marathon,Boston,Massachusetts,November
United Airlines NYC Half,New York City,New York,March
Brooklyn Half Marathon,Brooklyn,New York,May
Chicago Half Marathon,Chicago,Illinois,September
Houston Half Marathon,Houston,Texas,January
Atlanta Journal-Constitution Peachtree Road Race,Atlanta,Georgia,July
Gate River Run,Jacksonville,Florida,March
Crescent City Classic,New Orleans,Louisiana,April
Bloomsday Run,Spokane,Washington,May
Lilac Bloomsday Run,Spokane,Washington,May
Bolder Boulder,Boulder,Colorado,May
Falmouth Road Race,Falmouth,Massachusetts,August
Beach to Beacon 10K,Cape Elizabeth,Maine,August
Fifth Avenue Mile,New York City,New York,September
Manchester Road Race,Manchester,Connecticut,November
Carlsbad 5000,Carlsbad,California,April
Cherry Blossom 10 Mile,Washington,DC,April
Army Ten-Miler,Washington,DC,October
Broad Street Run,Philadelphia,Pennsylvania,May
Credit Union Cherry Blossom 10 Mile,Washington,DC,April
Cooper River Bridge Run,Charleston,South Carolina,April
Shamrock Run Portland,Portland,Oregon,March
Shamrock Shuffle,Chicago,Illinois,March
Gasparilla Distance Classic,Tampa,Florida,February
TD Beach to Beacon 10K,Cape Elizabeth,Maine,August
Bix 7,Davenport,Iowa,July
Crim Festival of Races,Flint,Michigan,August
Bay to Breakers,San Francisco,California,May
Turkey Trot (Buffalo),Buffalo,New York,November
Boilermaker 15K,Utica,New York,July
Run to Remember,Boston,Massachusetts,May
Rock 'n' Roll Las Vegas,Las Vegas,Nevada,February
Rock 'n' Roll Nashville,Nashville,Tennessee,April
Rock 'n' Roll Arizona,Phoenix,Arizona,January
Rock 'n' Roll San Jose,San Jose,California,October
Rock 'n' Roll Washington DC,Washington,DC,March
Jacksonville Marathon,Jacksonville,Florida,December
Indianapolis Monumental Marathon,Indianapolis,Indiana,November
Kentucky Derby Festival MiniMarathon,Louisville,Kentucky,April
Oklahoma City Memorial Marathon,Oklahoma City,Oklahoma,April
Missoula Marathon,Missoula,Montana,June
Fargo Marathon,Fargo,North Dakota,May
Des Moines Marathon,Des Moines,Iowa,October
Columbus Marathon,Columbus,Ohio,October
Akron Marathon,Akron,Ohio,September
Surf City Marathon,Huntington Beach,California,February
Cowtown Marathon,Fort Worth,Texas,February
Myrtle Beach Marathon,Myrtle Beach,South Carolina,March
Kiawah Island Marathon,Kiawah Island,South Carolina,December
Space Coast Marathon,Cocoa,Florida,November
Rehoboth Beach Marathon,Rehoboth Beach,Delaware,December
Marine Corps Historic Half,Fredericksburg,Virginia,May
RNR Savannah Half Marathon,Savannah,Georgia,November
Savannah Bridge Run,Savannah,Georgia,December
Monument Avenue 10K,Richmond,Virginia,April
A1A Marathon,Fort Lauderdale,Florida,February
Napa to Sonoma Half Marathon,Sonoma,California,July
Long Island Marathon,East Meadow,New York,May
Love Run Philadelphia Half Marathon,Philadelphia,Pennsylvania,March
Pittsburgh Half Marathon,Pittsburgh,Pennsylvania,May
Dallas Marathon,Dallas,Texas,December
Music City Half Marathon,Nashville,Tennessee,April
Jacksonville Gate River Run,Jacksonville,Florida,March
Santa Rosa Marathon,Santa Rosa,California,August
CIM Relay & Marathon,Sacramento,California,December
Eugene Half Marathon,Eugene,Oregon,April
Providence Marathon,Providence,Rhode Island,May
Tucson Marathon,Tucson,Arizona,December
